EXPOCODE,synonym
33LG19991217,LMG00-01
33LG20010104,LMG01-01
33LG20020102,LMG02-01
33LG20021231,LMG03-01
33LG20040101,LMG04-01
33LG20041229,LMG05-01
33LG20060101,LMG06-01
33LG20070101,LMG07-01
33LG20071230,LMG08-01
33LG20081230,LMG09-01
33LG20091230,LMG10-01
33LG20110101,LMG11-01
33LG20111229,LMG12-01
33LG20121230,LMG13-01
33LG20131229,LMG14-01
33LG20141227,LMG15-01
33LG20160103,LMG16-01
33LG20161230,LMG17-01
33LG19980122,LMG98-01
33LG19990201,LMG99-01
320619930325,NBP93-02
33PD19911107,PD91-09
33PD19930829,PD93-01
33PD19931008,PD93-07
33PD19940111,PD94-01
33PD19950107,PD95-01
33PD19960108,PD96-01
33PD19970111,PD97-01
320619991106,NBP99-06
320620010907,NBP01-05
