EXPOCODE,Institute,END,chief_investigator,ship_records,,cruise_report_citation,EXPOCODE_synonyms,profile_citation,underway_citation,pigment_citation,POC_citation
06AQ19850103,Alfred Wegener Institute,19850305,Gotthilf Hempel,https://www.pangaea.de/expeditions/bybasis/Polarstern,,06AQ19850103_report,ANT-III/3; PS06,06AQ19850103_prof,,06AQ19850103_pig,06AQ19850103_pig
06AQ19860627,Alfred Wegener Institute,19860917,"Augstein, E",https://www.pangaea.de/expeditions/bybasis/Polarstern,,06AQ19860627_report,ANT-V/2,06AQ19860627_prof,,06AQ19860627_pig,
06AQ19881122,Alfred Wegener Institute,19880109,Victor Smetacek,https://www.pangaea.de/expeditions/bybasis/Polarstern,,06AQ19881122_report,ANT-VII/3,06AQ19881122_prof,,06AQ19881122_pig,
06AQ19920929,Alfred Wegener Institute,19921129,Victor Smetacek,https://www.pangaea.de/expeditions/bybasis/Polarstern,,06AQ19920929_report,ANT-X/6,06AQ19920929_prof,,06AQ19920929_pig1; 06AQ19920929_pig2,06AQ19920929_pig2
06AQ20011024,Alfred Wegener Institute,20011203,Victor Smetacek,https://www.pangaea.de/expeditions/bybasis/Polarstern,,06AQ20011024_report,ANTXVIII-2 - ANT-XVIII/2,06AQ20011024_prof,,06AQ20011024_pig1; 06AQ20011024_pig2; 06AQ20011024_pig3; 06AQ20011024_pig4; 06AQ20011024_pig5; 06AQ20011024_pig6; 06AQ20011024_pig7; 06AQ20011024_pig8; 06AQ20011024_pig9,06AQ20011024_poc
06AQ20040121,Alfred Wegener Institute,20040325,Victor Smetacek,https://www.pangaea.de/expeditions/bybasis/Polarstern,,06AQ20040121_report,ANT-XXI/3,06AQ20040121_prof,06AQ20040121_uwy,06AQ20040121_pig1; 06AQ20040121_pig2,
06AQ20071128,Alfred Wegener Institute,20080204, Ulrich Bathmann,https://www.pangaea.de/expeditions/bybasis/Polarstern,,06AQ20071128_report,ANT-XXIV/2,06AQ20071128_prof,06AQ20071128_uwy,06AQ20071128_pig,
06AQ20080418,Alfred Wegener Institute,20080520,Andreas Macke,https://www.pangaea.de/expeditions/bybasis/Polarstern,,06AQ20080418_report,ANT-XXIV/4,06AQ20080418_prof,06AQ20080418_uwy,06AQ20080418_pig,
06AQ20100129,Alfred Wegener Institute,20100405,Karsten Gohl,https://www.pangaea.de/expeditions/bybasis/Polarstern,,06AQ20100129_report,ANT-XXVI/3; 06AQ20100130,06AQ20100129_prof,06AQ20100129_uwy,06AQ20100129_pig1; 06AQ20100129_pig2,
06AQ20100407,Alfred Wegener Institute,20100517,Arne Körtzinger,https://www.pangaea.de/expeditions/bybasis/Polarstern,,06AQ20100407_report,ANT-XXVI/4,06AQ20100407_prof,06AQ20100407_uwy,06AQ20100407_pig,
06AQ20120107,Alfred Wegener Institute,20120311,Dieter Wolf-Gladrow,https://www.pangaea.de/expeditions/bybasis/Polarstern,,06AQ20120107_report,ANT-XXVIII/3,06AQ20120107_prof,06AQ20120107_uwy,06AQ20120107_pig,06AQ20120107_poc
06AQ20130814,Alfred Wegener Institute,20131016,Bettina Meyer,https://www.pangaea.de/expeditions/bybasis/Polarstern,,06AQ20130814_report,ANT-XXIX/7,06AQ20130814_prof,06AQ20130814_uwy,06AQ20130814_pig,06AQ20130814_pig
06AQ20161216,Alfred Wegener Institute,20170203,Olaf Boebel,https://www.pangaea.de/expeditions/bybasis/Polarstern,,06AQ20161216_report,ANT-XXXII/2; PS103,06AQ20161216_prof,06AQ20161216_uwy,06AQ20161216_pig,
06AQ20181215,Alfred Wegener Institute,20190207,Olaf Boebel,https://www.pangaea.de/expeditions/bybasis/Polarstern,,06AQ20181215_report,PS117,06AQ20181215_prof,06AQ20181215_uwy,SOCCOM_pig,SOCCOM_pig
096U20150320,CSIRO,20150329,Tom trull,https://www.cmar.csiro.au/data/trawler/source_details.cfm?source_id=309,,096U20150320_report,IN2015_V01,096U20150320_prof,096U20150320_uwy,SOCCOM_pig,SOCCOM_pig
096U20160107,IMAS/University of Tasmania,20160227,Mike Coffin,https://www.cmar.csiro.au/data/trawler/source_details.cfm?source_id=309,,096U20160107_report,IN2016_v01,096U20160107_prof,096U20160107_uwy,SOCCOM_pig; 096U20160107_pig,SOCCOM_pig
